Local time in East Rockland Key (airport);T;P0;P;U;DD;Ff;ff10;WW;W'W';c;VV;Td
29.04.2022 11:53;28.0;762.3;762.5;62;Wind blowing from the east-southeast;5;10;;;Few clouds (10-30%) 1050 m;16.0;20.0
29.04.2022 10:53;27.0;762.6;762.8;62;Wind blowing from the south-east;5;;;;Few clouds (10-30%) 1050 m;16.0;19.0
29.04.2022 9:53;27.0;762.6;762.8;62;Wind blowing from the south-east;5;;;;Few clouds (10-30%) 900 m;16.0;19.0
29.04.2022 8:53;26.0;762.6;762.8;65;Wind blowing from the east-southeast;6;;;;Few clouds (10-30%) 900 m;16.0;19.0
29.04.2022 7:53;26.0;762.3;762.5;65;Wind blowing from the east-southeast;5;;;;Few clouds (10-30%) 840 m;16.0;19.0
29.04.2022 6:53;25.0;761.8;762.0;69;Wind blowing from the east-southeast;5;;;;Scattered clouds (40-50%) 870 m, broken clouds (60-90%) 1050 m;16.0;19.0
29.04.2022 5:53;25.0;761.5;761.7;69;Wind blowing from the east-southeast;5;;;;Scattered clouds (40-50%) 870 m;16.0;19.0
29.04.2022 4:53;;;761.2;;Wind blowing from the south-east;4;;;;No clouds;16.0;
29.04.2022 3:53;;;761.0;;Wind blowing from the south-east;5;;;;Few clouds (10-30%) 930 m;16.0;
29.04.2022 2:53;;;761.2;;Wind blowing from the east;4;;;;Scattered clouds (40-50%) 810 m;16.0;
29.04.2022 1:53;;;761.5;;Wind blowing from the east;4;;;;Scattered clouds (40-50%) 810 m;16.0;
29.04.2022 0:53;;;762.0;;Wind blowing from the east;5;;;;No clouds;16.0;
28.04.2022 23:53;;;762.3;;Wind blowing from the east;4;;;;No clouds;16.0;
28.04.2022 22:53;;;762.5;;Wind blowing from the east;3;;;;No clouds;16.0;
28.04.2022 21:53;;;762.3;;Wind blowing from the east;3;;;;No clouds;16.0;
28.04.2022 20:53;;;762.0;;Wind blowing from the east-southeast;3;;;;No clouds;16.0;
28.04.2022 19:53;26.0;761.5;761.7;65;Wind blowing from the east;3;;;;No clouds;16.0;19.0
28.04.2022 18:53;26.0;761.3;761.5;65;Wind blowing from the east;3;;;;No clouds;16.0;19.0
28.04.2022 18:01;26.0;761.0;761.2;65;Wind blowing from the east-southeast;3;;;;No clouds;16.0;19.0
28.04.2022 17:53;;;761.2;;Wind blowing from the east-southeast;3;;;;No clouds;16.0;
28.04.2022 16:53;27.0;760.8;761.0;62;Wind blowing from the south-southeast;3;;;;No clouds;16.0;19.0
28.04.2022 15:53;27.0;761.0;761.2;66;Wind blowing from the south-southeast;4;;;;No clouds;16.0;20.0
28.04.2022 14:53;27.0;761.5;761.7;66;Wind blowing from the south-east;4;;;;Few clouds (10-30%) 960 m;16.0;20.0
28.04.2022 13:53;27.0;762.1;762.3;62;Wind blowing from the south-southeast;4;;;;Scattered clouds (40-50%) 1020 m;16.0;19.0
28.04.2022 12:53;27.0;762.6;762.8;70;Wind blowing from the south-southeast;4;;;;Few clouds (10-30%) 960 m;16.0;21.0
28.04.2022 11:53;27.0;762.8;763.0;70;Wind blowing from the south-east;4;;;;Few clouds (10-30%) 960 m;16.0;21.0
28.04.2022 10:53;27.0;763.1;763.3;66;Wind blowing from the east-southeast;3;;;;Few clouds (10-30%) 1140 m;16.0;20.0
28.04.2022 9:53;27.0;763.1;763.3;62;Wind blowing from the east;3;;;;Few clouds (10-30%) 1050 m;16.0;19.0
28.04.2022 8:53;26.0;762.8;763.0;65;Wind blowing from the east-southeast;3;;;;No clouds;16.0;19.0
28.04.2022 7:53;26.0;762.6;762.8;65;Wind blowing from the east-southeast;3;;;;No clouds;16.0;19.0
28.04.2022 6:53;;;762.5;;Wind blowing from the east;2;;;;No clouds;16.0;
28.04.2022 5:53;24.0;761.8;762.0;74;Wind blowing from the east-southeast;2;;;;No clouds;16.0;19.0
28.04.2022 4:53;;;762.0;;Wind blowing from the east-southeast;2;;;;No clouds;16.0;
28.04.2022 3:53;;;762.0;;Wind blowing from the east-southeast;2;;;;No clouds;16.0;
28.04.2022 2:53;;;762.3;;Wind blowing from the south-east;3;;;;No clouds;16.0;
28.04.2022 1:53;;;762.8;;Wind blowing from the east-southeast;3;;;;Scattered clouds (40-50%) 750 m, scattered clouds (40-50%) 1080 m;16.0;
28.04.2022 0:53;;;762.8;;Wind blowing from the east-southeast;3;;;;Scattered clouds (40-50%) 750 m;16.0;
27.04.2022 23:53;;;763.0;;Wind blowing from the east;2;;;;No clouds;16.0;
27.04.2022 22:53;;;763.0;;Wind blowing from the east;2;;;;No clouds;16.0;
27.04.2022 21:53;;;763.3;;Wind blowing from the east-northeast;2;;;;No clouds;16.0;
27.04.2022 20:53;;;763.0;;Wind blowing from the east;2;;;;No clouds;16.0;
27.04.2022 19:53;25.0;762.3;762.5;79;Wind blowing from the east;3;;;;No clouds;16.0;21.0
27.04.2022 18:53;26.0;762.1;762.3;74;Wind blowing from the east-southeast;3;;;;No clouds;16.0;21.0
27.04.2022 17:53;27.0;761.8;762.0;66;Wind blowing from the east-southeast;3;;;;Few clouds (10-30%) 960 m;16.0;20.0
27.04.2022 16:53;27.0;761.8;762.0;70;Wind blowing from the east;2;;;;Few clouds (10-30%) 1080 m, scattered clouds (40-50%) 1320 m;16.0;21.0
27.04.2022 15:53;27.0;761.8;762.0;70;Wind blowing from the south-east;3;;;;Few clouds (10-30%) 960 m;16.0;21.0
27.04.2022 14:53;27.0;762.3;762.5;70;Wind blowing from the east-southeast;4;;;;No clouds;16.0;21.0
27.04.2022 13:53;27.0;762.8;763.0;70;variable wind direction;3;;;;No clouds;16.0;21.0
27.04.2022 12:53;27.0;763.1;763.3;70;Wind blowing from the east-southeast;3;;;;No clouds;16.0;21.0
27.04.2022 11:53;27.0;763.8;764.0;70;Wind blowing from the south-east;4;;;;Few clouds (10-30%) 840 m;16.0;21.0
27.04.2022 10:53;27.0;764.1;764.3;70;Wind blowing from the east-southeast;5;;;;Scattered clouds (40-50%) 900 m;16.0;21.0
27.04.2022 9:53;27.0;763.8;764.0;70;Wind blowing from the east;5;;;;Scattered clouds (40-50%) 810 m;16.0;21.0
27.04.2022 8:53;27.0;763.6;763.8;70;Wind blowing from the east-southeast;4;;;;Scattered clouds (40-50%) 810 m;16.0;21.0
27.04.2022 7:53;26.0;763.3;763.5;74;Calm, no wind;0;;;;Scattered clouds (40-50%) 930 m;16.0;21.0
27.04.2022 6:53;24.0;763.3;763.5;83;Wind blowing from the east;2;;;;Few clouds (10-30%) 930 m, few clouds (10-30%) 1800 m, overcast (100%) 3600 m;16.0;21.0
27.04.2022 5:53;23.0;763.1;763.3;89;Wind blowing from the north-east;2;;;;Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1050 m;16.0;21.0
27.04.2022 4:53;;;763.0;;Calm, no wind;0;;;;No clouds;16.0;
27.04.2022 3:53;;;762.8;;Wind blowing from the north-east;2;;;;No clouds;16.0;
27.04.2022 2:53;;;763.0;;Wind blowing from the east-northeast;2;;;;No clouds;16.0;
27.04.2022 1:53;;;763.8;;Wind blowing from the north-east;2;;;;No clouds;16.0;
27.04.2022 0:53;;;764.0;;Wind blowing from the east-northeast;2;;;;No clouds;16.0;
26.04.2022 23:53;;;764.5;;Wind blowing from the east-northeast;2;;;;Few clouds (10-30%) 900 m;16.0;
26.04.2022 22:53;;;764.8;;Wind blowing from the east;3;;;;No clouds;16.0;
26.04.2022 21:53;;;764.5;;Wind blowing from the east-northeast;3;;;;No clouds;16.0;
26.04.2022 20:53;;;764.3;;Wind blowing from the east-northeast;3;;;;No clouds;16.0;
26.04.2022 19:53;25.0;763.6;763.8;74;Wind blowing from the east;3;;;;No clouds;16.0;20.0
26.04.2022 18:53;26.0;763.3;763.5;70;Wind blowing from the east;5;;;;No clouds;16.0;20.0
26.04.2022 17:53;26.0;763.1;763.3;74;Wind blowing from the east;5;;;;No clouds;16.0;21.0
26.04.2022 16:53;27.0;763.1;763.3;70;Wind blowing from the east;5;;;;No clouds;16.0;21.0
26.04.2022 15:53;27.0;763.1;763.3;74;Wind blowing from the east;6;;;;No clouds;16.0;22.0
26.04.2022 14:53;27.0;763.3;763.5;70;Wind blowing from the east;6;;;;No clouds;16.0;21.0
26.04.2022 13:53;27.0;764.1;764.3;70;Wind blowing from the east;6;;;;No clouds;16.0;21.0
26.04.2022 12:53;27.0;764.3;764.5;70;Wind blowing from the east;6;;;;Few clouds (10-30%) 3300 m;16.0;21.0
26.04.2022 11:53;27.0;764.8;765.0;74;Wind blowing from the east;6;10;;;Scattered clouds (40-50%) 3300 m;16.0;22.0
26.04.2022 10:53;26.0;764.8;765.0;79;Wind blowing from the east-southeast;6;;;;Few clouds (10-30%) 750 m;16.0;22.0
26.04.2022 10:23;26.0;765.1;765.3;79;Wind blowing from the south-east;5;;;;Few clouds (10-30%) 720 m, scattered clouds (40-50%) 900 m, broken clouds (60-90%) 1080 m;16.0;22.0
26.04.2022 9:53;26.0;764.8;765.0;84;Wind blowing from the east;6;11;;;Broken clouds (60-90%) 780 m, broken clouds (60-90%) 1080 m, broken clouds (60-90%) 2250 m;16.0;23.0
26.04.2022 9:09;24.0;764.8;765.0;94;Wind blowing from the east-southeast;5;;;;Few clouds (10-30%) 690 m, broken clouds (60-90%) 1320 m, overcast (100%) 2100 m;16.0;23.0
26.04.2022 8:53;23.0;764.8;765.0;89;Wind blowing from the east-southeast;4;;Light rain, mist;;Scattered clouds (40-50%) 600 m, broken clouds (60-90%) 1110 m, broken clouds (60-90%) 1500 m;06.апр;21.0
26.04.2022 8:46;26.0;764.8;765.0;74;Wind blowing from the east-southeast;3;;Heavy rain;;Few clouds (10-30%) 660 m, broken clouds (60-90%) 1080 m, overcast (100%) 2250 m;03.фев;21.0
26.04.2022 8:40;26.0;764.8;765.0;74;Wind blowing from the east-southeast;5;10;Heavy rain;;Scattered clouds (40-50%) 660 m, broken clouds (60-90%) 840 m, overcast (100%) 2250 m;02.авг;21.0
26.04.2022 8:35;26.0;764.8;765.0;74;Wind blowing from the east;7;11;Light rain;;Broken clouds (60-90%) 660 m, broken clouds (60-90%) 840 m, overcast (100%) 2250 m;06.апр;21.0
26.04.2022 8:21;26.0;764.8;765.0;79;Wind blowing from the east;4;;;;Few clouds (10-30%) 720 m, broken clouds (60-90%) 1170 m, overcast (100%) 2250 m;16.0;22.0
26.04.2022 8:14;26.0;764.6;764.8;79;Wind blowing from the east;5;;;;Broken clouds (60-90%) 690 m, broken clouds (60-90%) 1170 m, overcast (100%) 2100 m;16.0;22.0
26.04.2022 7:53;26.0;764.6;764.8;74;Wind blowing from the east;4;;;;Few clouds (10-30%) 660 m, broken clouds (60-90%) 1200 m, broken clouds (60-90%) 2250 m;16.0;21.0
26.04.2022 6:53;24.0;764.6;764.8;83;Wind blowing from the east-northeast;2;;;;Few clouds (10-30%) 1410 m, broken clouds (60-90%) 2100 m, overcast (100%) 3000 m;16.0;21.0
26.04.2022 5:53;24.0;764.1;764.3;83;Wind blowing from the east;5;;;;Scattered clouds (40-50%) 2550 m;16.0;21.0
26.04.2022 4:53;;;763.5;;Wind blowing from the east;5;;;;Few clouds (10-30%) 720 m, few clouds (10-30%) 870 m;16.0;
26.04.2022 4:37;;;763.5;;Wind blowing from the east;8;;;;Few clouds (10-30%) 630 m, scattered clouds (40-50%) 780 m, broken clouds (60-90%) 1020 m;16.0;
26.04.2022 4:29;;;763.5;;Wind blowing from the east;7;10;;;Scattered clouds (40-50%) 630 m, broken clouds (60-90%) 750 m, overcast (100%) 1470 m;16.0;
26.04.2022 3:53;;;763.5;;Wind blowing from the east;6;;;;Scattered clouds (40-50%) 600 m, scattered clouds (40-50%) 870 m, broken clouds (60-90%) 1200 m;16.0;
26.04.2022 2:53;;;763.3;;Wind blowing from the east;4;;;;Few clouds (10-30%) 1950 m;16.0;
26.04.2022 1:53;;;763.5;;Wind blowing from the east;6;8;;;Few clouds (10-30%) 660 m;16.0;
26.04.2022 0:53;;;763.8;;Wind blowing from the east;7;;;;Few clouds (10-30%) 660 m, scattered clouds (40-50%) 1020 m;16.0;
25.04.2022 23:53;;;764.0;;Wind blowing from the east;5;10;;;No clouds;16.0;
25.04.2022 22:53;;;764.3;;Wind blowing from the east;8;10;;;Few clouds (10-30%) 630 m, few clouds (10-30%) 870 m;16.0;
25.04.2022 22:49;;;764.3;;Wind blowing from the east;6;;;;Few clouds (10-30%) 630 m, few clouds (10-30%) 840 m;16.0;
25.04.2022 22:25;;;764.0;;Wind blowing from the east;7;12;;;Broken clouds (60-90%) 630 m, broken clouds (60-90%) 810 m;16.0;
25.04.2022 21:53;;;764.0;;Wind blowing from the east;6;10;;;Scattered clouds (40-50%) 690 m, scattered clouds (40-50%) 960 m;16.0;
25.04.2022 20:53;;;763.8;;Wind blowing from the east;5;11;;;No clouds;16.0;
25.04.2022 19:53;26.0;763.3;763.5;74;Wind blowing from the east;8;;;;No clouds;16.0;21.0
25.04.2022 18:53;26.0;762.8;763.0;74;Wind blowing from the east;6;10;;;No clouds;16.0;21.0
25.04.2022 17:53;26.0;762.8;763.0;74;Wind blowing from the east;8;10;;;No clouds;16.0;21.0
25.04.2022 16:53;27.0;762.8;763.0;70;Wind blowing from the east;7;;;;No clouds;16.0;21.0
25.04.2022 15:53;27.0;762.8;763.0;74;Wind blowing from the east;7;;;;Few clouds (10-30%) 780 m;16.0;22.0
25.04.2022 14:53;27.0;763.1;763.3;70;Wind blowing from the east;7;11;;;Few clouds (10-30%) 840 m;16.0;21.0
25.04.2022 13:53;27.0;763.6;763.8;74;Wind blowing from the east;7;;;;Few clouds (10-30%) 900 m;16.0;22.0
25.04.2022 12:53;27.0;763.8;764.0;74;Wind blowing from the east;7;;;;No clouds;16.0;22.0
25.04.2022 11:53;27.0;764.1;764.3;74;Wind blowing from the east;7;;;;No clouds;16.0;22.0
25.04.2022 10:53;27.0;764.3;764.5;74;Wind blowing from the east;8;;;;No clouds;16.0;22.0
25.04.2022 9:53;26.0;764.3;764.5;79;Wind blowing from the east;7;;;;No clouds;16.0;22.0
25.04.2022 8:53;26.0;764.1;764.3;74;Wind blowing from the east;7;10;;;Few clouds (10-30%) 750 m, few clouds (10-30%) 990 m;16.0;21.0
25.04.2022 7:53;25.0;763.6;763.8;83;Wind blowing from the east;8;;;;Few clouds (10-30%) 720 m, scattered clouds (40-50%) 900 m, broken clouds (60-90%) 1500 m;16.0;22.0
25.04.2022 7:10;25.0;763.3;763.5;83;Wind blowing from the east;8;;;;Few clouds (10-30%) 720 m, scattered clouds (40-50%) 900 m, broken clouds (60-90%) 1500 m;16.0;22.0
25.04.2022 7:02;;;763.5;;Wind blowing from the east;8;;;;Scattered clouds (40-50%) 720 m, broken clouds (60-90%) 900 m, broken clouds (60-90%) 1080 m;16.0;
25.04.2022 6:53;;;763.5;;Wind blowing from the east;7;11;;;Broken clouds (60-90%) 720 m, broken clouds (60-90%) 1080 m, broken clouds (60-90%) 1650 m;16.0;
25.04.2022 6:44;;;763.3;;Wind blowing from the east;7;;;;Scattered clouds (40-50%) 720 m, broken clouds (60-90%) 870 m, broken clouds (60-90%) 1140 m;16.0;
25.04.2022 5:53;;;762.8;;Wind blowing from the east;8;;;;Few clouds (10-30%) 720 m, broken clouds (60-90%) 930 m;16.0;
25.04.2022 5:01;;;762.5;;Wind blowing from the east;5;;;;Scattered clouds (40-50%) 690 m, broken clouds (60-90%) 900 m, broken clouds (60-90%) 1500 m;16.0;
25.04.2022 4:53;;;762.5;;Wind blowing from the east;6;10;;;Broken clouds (60-90%) 690 m, broken clouds (60-90%) 960 m, overcast (100%) 1500 m;16.0;
25.04.2022 4:39;;;762.5;;Wind blowing from the east;6;;Rain;;Broken clouds (60-90%) 690 m, broken clouds (60-90%) 930 m, overcast (100%) 1800 m;11.фев;
25.04.2022 3:53;;;762.5;;Wind blowing from the east;9;12;;;Few clouds (10-30%) 690 m, scattered clouds (40-50%) 990 m, broken clouds (60-90%) 2400 m;16.0;
25.04.2022 2:53;;;762.3;;Wind blowing from the east;8;12;;;Few clouds (10-30%) 1080 m, scattered clouds (40-50%) 1950 m, broken clouds (60-90%) 2550 m;16.0;
25.04.2022 2:20;;;762.5;;Wind blowing from the south-east;8;;Light rain;;Scattered clouds (40-50%) 750 m, broken clouds (60-90%) 1440 m, overcast (100%) 1800 m;16.0;
25.04.2022 1:53;;;762.8;;Wind blowing from the east-southeast;5;10;;;Broken clouds (60-90%) 780 m, broken clouds (60-90%) 1140 m, overcast (100%) 1410 m;16.0;
25.04.2022 1:27;;;763.0;;Wind blowing from the east-northeast;3;;;;Few clouds (10-30%) 750 m, scattered clouds (40-50%) 900 m, broken clouds (60-90%) 1110 m;16.0;
25.04.2022 0:53;;;763.0;;variable wind direction;2;;Light rain;;Scattered clouds (40-50%) 450 m, broken clouds (60-90%) 660 m, overcast (100%) 1170 m;16.0;
25.04.2022 0:11;;;763.5;;variable wind direction;2;;Heavy rain;;Scattered clouds (40-50%) 540 m, broken clouds (60-90%) 810 m, overcast (100%) 1380 m;06.апр;
25.04.2022 0:03;;;763.5;;Wind blowing from the south-east;4;;Light rain;;Scattered clouds (40-50%) 630 m, broken clouds (60-90%) 900 m, overcast (100%) 1200 m;11.фев;
24.04.2022 23:53;;;763.5;;Wind blowing from the east-northeast;3;;Light rain;;Broken clouds (60-90%) 870 m, broken clouds (60-90%) 1380 m, overcast (100%) 3000 m;16.0;
24.04.2022 23:42;;;763.5;;Wind blowing from the east-northeast;3;;Light thunderstorm, rain;;Few clouds (10-30%) 840 m, broken clouds (60-90%) 1950 m, overcast (100%) 3300 m;16.0;
24.04.2022 23:35;;;763.5;;Wind blowing from the east-northeast;4;;In the vicinity thunderstorm, light rain;;Scattered clouds (40-50%) 960 m, broken clouds (60-90%) 2700 m, overcast (100%) 3300 m;16.0;
24.04.2022 22:53;;;763.5;;Wind blowing from the east;4;9;Light rain;;Few clouds (10-30%) 480 m, broken clouds (60-90%) 2400 m, broken clouds (60-90%) 3000 m;12.авг;
24.04.2022 21:53;;;763.8;;Wind blowing from the east;5;;Light rain;;Scattered clouds (40-50%) 720 m, broken clouds (60-90%) 1260 m, overcast (100%) 2400 m;14.апр;
24.04.2022 21:48;;;763.8;;Wind blowing from the east;5;13;Light rain;;Scattered clouds (40-50%) 720 m, broken clouds (60-90%) 1080 m, overcast (100%) 2400 m;8.0;
24.04.2022 21:40;;;763.8;;Wind blowing from the east;9;13;Light rain;;Broken clouds (60-90%) 690 m, broken clouds (60-90%) 1020 m, broken clouds (60-90%) 1440 m;14.апр;
24.04.2022 20:53;;;763.5;;Wind blowing from the east;6;11;;;Few clouds (10-30%) 630 m, few clouds (10-30%) 870 m;16.0;
24.04.2022 19:53;26.0;763.1;763.3;79;Wind blowing from the east;6;11;;;No clouds;16.0;22.0
24.04.2022 18:53;26.0;762.8;763.0;79;Wind blowing from the east;6;;;;Few clouds (10-30%) 660 m;16.0;22.0
24.04.2022 17:53;27.0;762.6;762.8;74;Wind blowing from the east;7;11;;;Few clouds (10-30%) 630 m;16.0;22.0
24.04.2022 16:53;27.0;762.6;762.8;74;Wind blowing from the east;8;11;;;Few clouds (10-30%) 600 m, scattered clouds (40-50%) 900 m, scattered clouds (40-50%) 1230 m;16.0;22.0
24.04.2022 15:53;27.0;762.1;762.3;74;Wind blowing from the east;7;11;;;Scattered clouds (40-50%) 690 m, scattered clouds (40-50%) 1020 m;16.0;22.0
24.04.2022 14:54;27.0;762.6;762.8;74;Wind blowing from the east;8;12;;;Scattered clouds (40-50%) 690 m, scattered clouds (40-50%) 1020 m;16.0;22.0
24.04.2022 14:53;28.0;762.6;762.8;66;Wind blowing from the east;7;12;;;Few clouds (10-30%) 690 m, few clouds (10-30%) 1020 m;16.0;21.0
24.04.2022 13:53;28.0;762.8;763.0;66;Wind blowing from the east-northeast;6;11;;;No clouds;16.0;21.0
24.04.2022 12:53;27.0;763.3;763.5;70;Wind blowing from the east;7;12;;;Scattered clouds (40-50%) 840 m, scattered clouds (40-50%) 1110 m;16.0;21.0
24.04.2022 11:53;27.0;763.8;764.0;62;Wind blowing from the east;7;;;;Scattered clouds (40-50%) 780 m, scattered clouds (40-50%) 960 m;16.0;19.0
24.04.2022 10:53;26.0;764.1;764.3;65;Wind blowing from the east;6;10;;;No clouds;16.0;19.0
24.04.2022 9:53;26.0;764.1;764.3;61;Wind blowing from the east;7;11;;;No clouds;16.0;18.0
24.04.2022 8:53;25.0;764.1;764.3;61;Wind blowing from the east;7;9;;;No clouds;16.0;17.0
24.04.2022 7:53;24.0;764.1;764.3;65;Wind blowing from the east-northeast;4;;;;Scattered clouds (40-50%) 1290 m;16.0;17.0
24.04.2022 6:53;24.0;763.6;763.8;69;Wind blowing from the east;6;9;;;No clouds;16.0;18.0
24.04.2022 5:59;24.0;763.3;763.5;69;Wind blowing from the east;6;;;;Few clouds (10-30%) 1170 m, few clouds (10-30%) 1380 m;16.0;18.0
24.04.2022 5:53;;;763.3;;Wind blowing from the east;6;;;;Few clouds (10-30%) 1230 m;16.0;
24.04.2022 4:53;;;762.8;;Wind blowing from the east;5;10;;;Few clouds (10-30%) 1110 m;16.0;
24.04.2022 3:53;;;762.8;;Wind blowing from the east;7;11;;;Few clouds (10-30%) 1020 m, overcast (100%) 1320 m;16.0;
24.04.2022 2:53;;;762.8;;Wind blowing from the east;7;11;;;Scattered clouds (40-50%) 1050 m, broken clouds (60-90%) 1290 m;16.0;
24.04.2022 1:53;;;763.0;;Wind blowing from the east;5;;;;Scattered clouds (40-50%) 900 m, scattered clouds (40-50%) 1140 m;16.0;
24.04.2022 0:53;;;763.5;;Wind blowing from the east-northeast;4;;;;Scattered clouds (40-50%) 870 m;16.0;
23.04.2022 23:53;;;764.0;;Wind blowing from the east;4;8;;;No clouds;16.0;
23.04.2022 22:53;;;764.0;;Wind blowing from the east-northeast;4;;;;No clouds;16.0;
23.04.2022 21:53;;;764.3;;Wind blowing from the east;6;9;;;No clouds;16.0;
23.04.2022 20:53;;;764.0;;Wind blowing from the east;5;10;;;No clouds;16.0;
23.04.2022 19:53;25.0;763.6;763.8;74;Wind blowing from the east;6;10;;;No clouds;16.0;20.0
23.04.2022 18:53;25.0;763.3;763.5;74;Wind blowing from the east;7;13;;;No clouds;16.0;20.0
23.04.2022 17:53;26.0;763.3;763.5;70;Wind blowing from the east;6;12;;;No clouds;16.0;20.0
23.04.2022 16:53;26.0;762.8;763.0;74;Wind blowing from the east;9;14;;;No clouds;16.0;21.0
23.04.2022 15:53;27.0;763.1;763.3;70;Wind blowing from the east;9;13;;;Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1800 m;16.0;21.0
23.04.2022 14:53;27.0;763.1;763.3;74;Wind blowing from the east;10;14;;;Few clouds (10-30%) 1410 m, scattered clouds (40-50%) 1800 m;16.0;22.0
23.04.2022 13:53;27.0;763.6;763.8;74;Wind blowing from the east;8;14;;;Few clouds (10-30%) 690 m, scattered clouds (40-50%) 930 m, broken clouds (60-90%) 1290 m;16.0;22.0
23.04.2022 12:53;26.0;764.1;764.3;79;Wind blowing from the east-northeast;5;11;;;Few clouds (10-30%) 600 m, scattered clouds (40-50%) 810 m, broken clouds (60-90%) 990 m;16.0;22.0
